timestamp,type,sport,match,league,market,edge_pct,confidence,suggested_stake,details
2026-04-16 11:07 UTC,ARBITRAGE,soccer,Lecce vs Fiorentina,Serie A - Italy,h2h,0.553,SURE,5.53,"{""Draw"": {""bookmaker"": ""1xBet"", ""odds"": 3.5, ""stake_pct"": 28.73, ""stake_amount"": 287.3}, ""Lecce"": {""bookmaker"": ""Unibet (SE)"", ""odds"": 3.65, ""stake_pct"": 27.55, ""stake_amount"": 275.5}, ""Fiorentina"": {""bookmaker"": ""Betfair"", ""odds"": 2.3, ""stake_pct"": 43.72, ""stake_amount"": 437.2}}"
2026-04-16 11:07 UTC,VALUE_BET,basketball,Žalgiris vs Paris Basketball,Basketball Euroleague,h2h,18.05,ALTA,13.68,Paris Basketball@4.3 (Betsson)
2026-04-16 11:07 UTC,VALUE_BET,basketball,Žalgiris vs Paris Basketball,Basketball Euroleague,h2h,18.05,ALTA,13.68,Paris Basketball@4.3 (Nordic Bet)
2026-04-16 11:07 UTC,VALUE_BET,soccer,Fiorentina vs Sassuolo,Serie A - Italy,h2h,15.69,ALTA,10.6,Sassuolo@4.7 (BetOnline.ag)
2026-04-16 11:07 UTC,VALUE_BET,basketball,Žalgiris vs Paris Basketball,Basketball Euroleague,h2h,15.31,ALTA,11.96,Paris Basketball@4.2 (888sport)
2026-04-16 11:07 UTC,VALUE_BET,basketball,Žalgiris vs Paris Basketball,Basketball Euroleague,h2h,15.31,ALTA,11.96,Paris Basketball@4.2 (William Hill)
2026-04-16 11:07 UTC,VALUE_BET,hockey,Colorado Avalanche vs Seattle Kraken,NHL,h2h,14.47,ALTA,14.64,Seattle Kraken@3.47 (1xBet)
2026-04-16 11:07 UTC,VALUE_BET,hockey,Colorado Avalanche vs Seattle Kraken,NHL,h2h,13.81,ALTA,14.09,Seattle Kraken@3.45 (Coolbet)
2026-04-16 11:07 UTC,VALUE_BET,hockey,Colorado Avalanche vs Seattle Kraken,NHL,h2h,13.81,ALTA,14.09,Seattle Kraken@3.45 (LeoVegas (SE))
2026-04-16 11:07 UTC,VALUE_BET,hockey,Colorado Avalanche vs Seattle Kraken,NHL,h2h,13.81,ALTA,14.09,Seattle Kraken@3.45 (Unibet (SE))
2026-04-16 11:07 UTC,VALUE_BET,hockey,Colorado Avalanche vs Seattle Kraken,NHL,h2h,12.82,ALTA,13.24,Seattle Kraken@3.42 (Marathon Bet)
2026-04-16 11:07 UTC,VALUE_BET,hockey,Colorado Avalanche vs Seattle Kraken,NHL,h2h,12.16,ALTA,12.67,Seattle Kraken@3.4 (Tipico)
2026-04-16 11:07 UTC,VALUE_BET,soccer,Fiorentina vs Sassuolo,Serie A - Italy,h2h,11.76,ALTA,8.3,Sassuolo@4.54 (1xBet)
2026-04-16 11:07 UTC,VALUE_BET,hockey,Nashville Predators vs Anaheim Ducks,NHL,h2h,11.57,ALTA,19.28,Nashville Predators@2.5 (1xBet)
2026-04-16 11:07 UTC,VALUE_BET,soccer,Fiorentina vs Sassuolo,Serie A - Italy,h2h,11.26,ALTA,8.0,Sassuolo@4.52 (Pinnacle)
2026-04-16 11:07 UTC,VALUE_BET,hockey,Nashville Predators vs Anaheim Ducks,NHL,h2h,10.77,ALTA,17.95,Anaheim Ducks@2.5 (LeoVegas (SE))
